authors,doi,ee,key,number,pages,publisher,title,type,university,url,venue,volume,year
"Lillian N. Cassel, Don Goelman, Paula Matuszek, Mary-Angela Papalaskari, Michael Posner, Thomas Way, Darina Dicheva, Christo Dichev",10.1145/3197091.3205821,https://doi.org/10.1145/3197091.3205821,conf/iticse/CasselGMPPWDD18,,385,,Lessons learned from developing advanced topics for broad use.,Conference and Workshop Papers,villanova,https://dblp.org/rec/conf/iticse/CasselGMPPWDD18,ITiCSE,,2018
"Spyridon Doukakis, Mary-Angela Papalaskari, Panayiotis M. Vlamos, Antonia Plerou, Panagiota Giannopoulou",10.1145/3197091.3205815,https://doi.org/10.1145/3197091.3205815,conf/iticse/DoukakisPVPG18,,392,,Assessing attention in visual and textual programming using neuroeducation approaches.,Conference and Workshop Papers,villanova,https://dblp.org/rec/conf/iticse/DoukakisPVPG18,ITiCSE,,2018
"Todd W. Neller, Joshua Eckroth, Sravana Reddy, Joshua Ziegler, Jason M. Bindewald, Gilbert L. Peterson, Thomas Way, Paula Matuszek, Lillian N. Cassel, Mary-Angela Papalaskari, Carol Weiss, Ariel Anders, Sertac Karaman",,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/15013,conf/aaai/NellerERZBPWMCP17,,4822-4825,,Model AI Assignments 2017.,Conference and Workshop Papers,villanova,https://dblp.org/rec/conf/aaai/NellerERZBPWMCP17,AAAI,,2017
"Thomas Way, Mary-Angela Papalaskari, Lillian N. Cassel, Paula Matuszek, Carol Weiss, Yamini Praveena Tella",10.1145/3059009.3072979,https://doi.org/10.1145/3059009.3072979,conf/iticse/WayPCMWT17,,84-85,,Machine Learning Modules for All Disciplines.,Conference and Workshop Papers,villanova,https://dblp.org/rec/conf/iticse/WayPCMWT17,ITiCSE,,2017
"Thomas Way, Lillian N. Cassel, Paula Matuszek, Mary-Angela Papalaskari, Divya Bonagiri, Aravinda Gaddam",10.1145/2899415.2925485,https://doi.org/10.1145/2899415.2925485,conf/iticse/WayCMPBG16,,362,,Broader and Earlier Access to Machine Learning.,Conference and Workshop Papers,villanova,https://dblp.org/rec/conf/iticse/WayCMPBG16,ITiCSE,,2016
Mary-Angela Papalaskari,10.1145/961511.961639,https://doi.org/10.1145/961511.961639,conf/iticse/Papalaskari03,,274,,Peer evaluation in an algorithms course.,Conference and Workshop Papers,villanova,https://dblp.org/rec/conf/iticse/Papalaskari03,ITiCSE,,2003
"Anany Levitin, Mary-Angela Papalaskari",10.1145/563340.563456,https://doi.org/10.1145/563340.563456,conf/sigcse/LevitinP02,,292-296,,Using puzzles in teaching algorithms.,Conference and Workshop Papers,villanova,https://dblp.org/rec/conf/sigcse/LevitinP02,SIGCSE,,2002
"Giorgio P. Ingargiola, Nathan Hoskin, Robert M. Aiken, Rajeev V. Dubey, Judith D. Wilson, Mary-Angela Papalaskari, Margaret Christensen, Roger Webster",10.1145/191029.191048,https://doi.org/10.1145/191029.191048,conf/sigcse/IngargiolaHADWPCW94,,36-40,,A repository that supports teaching and cooperation in the introductory AI course.,Conference and Workshop Papers,villanova,https://dblp.org/rec/conf/sigcse/IngargiolaHADWPCW94,SIGCSE,,1994
"Mary-Angela Papalaskari, Scott Weinstein",10.1016/0743-1066(90)90031-Y,https://doi.org/10.1016/0743-1066(90)90031-Y,journals/jlp/PapalaskariW90,1,19-31,,Minimal Consequence in Sentential Logic.,Journal Articles,villanova,https://dblp.org/rec/journals/jlp/PapalaskariW90,J. Log. Program.,9,1990
Mary-Angela Papalaskari,,http://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.236915,phd/ethos/Papalaskari88,,,,Minimal consequence - a semantic approach to reasoning with incomplete information.,Books and Theses,villanova,https://dblp.org/rec/phd/ethos/Papalaskari88,,,1988
